"","logFC","AveExpr","t","P.Value","adj.P.Val"
"GTF2IP1",9.73949304689872,4.4213091911711,102.735306476936,7.97288074338038e-251,1.20462255151734e-246
"SNORA8",10.2886011874607,-1.09878402122263,88.3402539358577,3.52764773260761e-230,2.66496147959842e-226
"MRPL30",10.1707515344951,0.503290644023956,85.9530683868019,1.85935353282053e-226,9.36432417579515e-223
"AMIGO3",9.6202570715948,-1.46931173662686,80.7363946327184,5.53375151043619e-218,2.09023628927951e-214
"EIF3CL",9.5860476530285,3.91798438844006,80.3764872432732,2.21725076038658e-217,6.70008834773616e-214
"DDX47",11.0756229917555,0.769984537645941,77.3087467609701,3.84640658521785e-212,9.68589284934276e-209
"C14orf169",9.18839112610547,-1.67966232600394,74.0056445262328,2.74716059464521e-206,5.92954991778492e-203
"RGPD6",9.6225697165166,0.213480472748194,72.1664462805794,6.30690058210417e-203,1.19113701118765e-199
"ACAD11",10.9754821851988,-0.298236817221137,70.8350868791996,1.90653794149118e-200,3.20065352866558e-197
"DEXI",7.33670142297264,1.76879400329095,70.6785192480766,3.75519463138543e-200,5.67372356856024e-197
"SPDYE8P",7.10059884534447,-2.66798988999691,69.5528055543514,5.10806976943567e-198,7.01616601330942e-195
"RPS17",10.9395127088898,3.07941488508155,69.5099347094437,6.49729442772928e-198,8.18063512571347e-195
"P2RX6P",-7.58072629291301,-2.19256420034911,-65.1397221623526,2.362919128514e-189,2.74625731636292e-186
"C2orf74",10.1023503944754,-1.20018763202243,65.0486631194184,3.61010173496393e-189,3.896073365255e-186
"MGAT2",7.22632757641771,1.84322919353625,63.7554563831516,1.56946706355248e-186,1.58087185754763e-183
"SLC18A2",-7.73602975098946,-0.624137633786479,-63.4072916582183,8.20030616319225e-186,7.74365161372948e-183
"C11orf71",9.99936610092207,-0.913423566645886,62.1001448330721,4.36519892397337e-183,3.87963473778315e-180
"RPL21",-10.6894667068067,2.68253406605115,-62.0955292154492,5.17461256267966e-183,4.34351228941817e-180
"SUMO1P3",8.04391076399166,0.236112081448077,61.1633682199457,4.20459406838581e-181,3.34353746206533e-178
"FAM153C",-9.49669194070975,-0.547943837261974,-59.9483631941358,1.71781624873427e-178,1.2977242851063e-175
"NACA2",6.56156257321384,-2.59605801350243,59.7840460898682,3.90400506183976e-178,2.80883868949223e-175
"CIDEB",7.59640403417542,0.0272784336641496,58.9446879688464,2.66419362033352e-176,1.82969551861905e-173
"FEM1A",6.83239629751199,2.39285257823423,57.7298545435865,1.31446224202201e-173,8.63487391943938e-171
"NLRP1",-5.93260755707621,5.32821284420805,-55.8248154013997,2.73690965426256e-169,1.72299866526054e-166
"FAM153B",-10.8482461204669,0.648490408010897,-55.8212101811029,3.35620658331185e-169,2.02835701069035e-166
"EPB42",-7.20061591746433,-1.65027268532653,-55.4573228988627,1.92350417162366e-168,1.11777786650238e-165
"PSPN",-6.67984820394278,-0.2871242730059,-54.2526070765221,1.23686481331627e-165,6.92140387570203e-163
"GPR89C",8.53492928163915,-1.20457751588999,53.8175625914052,1.31441359045171e-164,7.09266962076245e-162
"GMPPB",6.52964915791631,0.717571847300196,53.1048355979261,6.52644768220483e-163,3.39000139730207e-160
"RBM34",4.79516670118312,2.93979322494954,53.0992306624264,6.73109020577551e-163,3.39000139730207e-160
"RABGEF1",4.51784585918543,3.85800070752293,52.901631334431,2.00224009775705e-162,9.75865988290685e-160
"NKX6.3",-6.52010023477988,-2.61201105373537,-52.6831068450916,6.70988594076885e-162,3.16811458372114e-159
"CACNG8",-9.78181259788271,2.40780675540163,-52.0531226211118,2.65801983994176e-160,1.21697035641455e-157
"MAP3K13",-5.40997755731321,2.92880049019334,-51.8616911882536,6.55236533186934e-160,2.8975891075913e-157
"SLC22A9",-6.63392786144398,-2.2357557788693,-51.8573951687533,6.71226545540377e-160,2.8975891075913e-157
"POTEE",5.81172570304151,-3.33538038609122,51.7821668867421,1.02409244582662e-159,4.29805910110957e-157
"CAMK1D",-5.34527694391271,5.27275123599344,-51.4333752558861,7.30676445544697e-159,2.98372713938779e-156
"NRG4",-6.98955618185147,-0.00984409675237002,-51.3506184510124,1.16645891035828e-158,4.63790202015874e-156
"LYPLA2P1",6.57464847989298,-1.58520075367337,51.2158723768412,2.50138164696063e-158,9.69060905228928e-156
"GFOD1",-6.21539533504638,3.89644293771209,-50.793424616095,2.762512580768e-157,1.04347006457059e-154
