Gene_i,Gene_j,pearson_correlation
CYP4Z1,GPR89C,0.07852611046847202
CYP4Z1,HIST2H4A,-0.07704628032250574
CYP4Z1,SUMO1P3,0.0664785181996726
CYP4Z1,ZBTB37,0.10891066243596441
CYP4Z1,TNNT2,0.4831775031111294
CYP4Z1,RBM34,0.08703543854713786
CYP4Z1,EDARADD,-0.016208326040508234
CYP4Z1,C2orf74,0.18314103662191972
CYP4Z1,MRPL30,0.06803140602436246
CYP4Z1,RGPD6,0.3030986406721007
CYP4Z1,POTEE,0.07932610079151194
CYP4Z1,AMIGO3,0.126469331919654
CYP4Z1,GMPPB,0.12065340289675162
CYP4Z1,ACAD11,0.2638380867743412
CYP4Z1,PA2G4P4,0.018064512755998793
CYP4Z1,VWA5B2,0.46887855363800907
CYP4Z1,MAP3K13,0.20161506253268982
CYP4Z1,ISCA1P1,0.12923563139034497
CYP4Z1,PPP1R2P3,0.12740890175959105
CYP4Z1,FAM153B,0.3589460902872232
CYP4Z1,EIF4E1B,0.3634966180369687
CYP4Z1,FAM153C,0.502218083180539
CYP4Z1,GFOD1,0.3657275316797159
CYP4Z1,LYPLA2P1,-0.05966597541069079
CYP4Z1,SNORA8,0.2781202103112417
CYP4Z1,GET4,0.1008423635651077
CYP4Z1,TRIL,-0.03335312137529308
CYP4Z1,RABGEF1,0.09803103814534919
CYP4Z1,SPDYE8P,0.17997943221006624
CYP4Z1,GTF2IRD2P1,0.10642811717637708
CYP4Z1,GTF2IP1,0.10662162818734923
CYP4Z1,KCNQ3,0.26876118551643824
CYP4Z1,KIF12,0.39336779801379596
CYP4Z1,SOHLH1,0.43283647545555415
CYP4Z1,LCN15,0.40163949365978757
CYP4Z1,IDI2,0.17007928786357102
CYP4Z1,CAMK1D,0.22545508769419992
CYP4Z1,DRGX,0.2655173849285546
CYP4Z1,NPFFR1,0.07715992915703111
CYP4Z1,SAMD8,0.13286539578800527
CYP4Z1,EIF5AL1,-0.014632631255822683
CYP4Z1,PIPSL,0.036758865584099354
CYP4Z1,SLC18A2,0.05906294622487659
CYP4Z1,TRIM34,0.057424770375278676
CYP4Z1,SLC22A9,0.26480288793328255
CYP4Z1,C11orf71,0.1619448943205094
CYP4Z1,MFRP,0.07659361013441997
CYP4Z1,GRAMD1B,0.1655592472359279
CYP4Z1,PRB2,0.31460312903002896
CYP4Z1,DDX47,-0.0028069406788515374
CYP4Z1,GRIN2B,0.16277132331237182
CYP4Z1,H3F3C,0.04729364780286882
CYP4Z1,KCNH3,0.42430200344716146
CYP4Z1,HOXC4,0.07704253524153389
CYP4Z1,MAP1LC3B2,0.1046116675726513
CYP4Z1,CABP1,0.3703843947010658
CYP4Z1,ZNF26,0.04693492761245807
CYP4Z1,ZNF84,0.19391381315187256
CYP4Z1,RPL21,-0.033227609505494186
CYP4Z1,DGKH,0.01265246213473569
CYP4Z1,CIDEB,0.12612498317369922
CYP4Z1,CTAGE5,0.15536879151671654
CYP4Z1,MGAT2,0.00918345917816089
CYP4Z1,C14orf169,0.15762435383630255
CYP4Z1,DIO3OS,0.07724992178721513
CYP4Z1,EPB42,0.006270110249655018
CYP4Z1,NRG4,0.15834408889425997
CYP4Z1,GOLGA6L9,0.28066787481801053
CYP4Z1,RPS17,0.006885274897485252
CYP4Z1,FSD2,-0.11730167558746342
CYP4Z1,EME2,0.0481416287737938
CYP4Z1,DEXI,0.1996349690718965
CYP4Z1,EIF3CL,0.044888195526765505
CYP4Z1,BOLA2,0.013631614674453486
CYP4Z1,GCSH,0.105920411923799
CYP4Z1,NLRP1,0.2296393424218367
CYP4Z1,RNASEK,0.12508333085924758
CYP4Z1,CORO6,0.41174578231138226
CYP4Z1,TBC1D3B,0.22410239029507725
CYP4Z1,TBC1D3,0.2310234293647379
CYP4Z1,CCDC103,0.12046897724354498
CYP4Z1,NACA2,0.030815343086870346
CYP4Z1,ANKRD30B,0.3819559224717052
CYP4Z1,FEM1A,0.05356955375395519
CYP4Z1,PSPN,0.020556146526099692
CYP4Z1,RPSAP58,-0.051416240472414866
CYP4Z1,ATP4A,0.2651813831407512
CYP4Z1,CACNG8,0.17035659104677014
CYP4Z1,ZCCHC3,0.04963979612538805
CYP4Z1,P2RX6P,0.03649161602725625
CYP4Z1,MIF,0.005079202255187921
CYP4Z1,SSTR3,0.3347670719389113
CYP4Z1,MAGED4B,0.03684560154653389
CYP4Z1,MAGED4,0.053850732072719
CYP4Z1,RPL36A,0.11866659028087041
CYP4Z1,FAM45B,0.09115788658124023
CYP4Z1,PRRG3,0.23955766042766025
GPR89C,HIST2H4A,0.19047878708100996
GPR89C,SUMO1P3,0.4533932942168114
GPR89C,ZBTB37,0.2131951527836683
GPR89C,TNNT2,0.06072137723531591
GPR89C,RBM34,0.5196026619664771
GPR89C,EDARADD,0.3505656585740461
GPR89C,C2orf74,0.305362049166569
GPR89C,MRPL30,0.5083318199960055
GPR89C,RGPD6,0.4166431145159287
GPR89C,POTEE,0.30698555440749015
GPR89C,AMIGO3,0.3204679037496562
GPR89C,GMPPB,0.35247059405600556
GPR89C,ACAD11,0.31208401254973206
GPR89C,PA2G4P4,0.401552426142401
GPR89C,VWA5B2,0.15921301830414727
GPR89C,MAP3K13,0.17953741443737906
GPR89C,ISCA1P1,0.29499828776105985
GPR89C,PPP1R2P3,0.2978427080460344
GPR89C,FAM153B,0.015687214542068065
GPR89C,EIF4E1B,0.15246706903486112
GPR89C,FAM153C,0.07266643938439647
GPR89C,GFOD1,0.2059847422304758
GPR89C,LYPLA2P1,0.39424781633714656
GPR89C,SNORA8,0.3585956618775498
GPR89C,GET4,0.44582925128962425
GPR89C,TRIL,0.20396527996344538
GPR89C,RABGEF1,0.4855676323564849
GPR89C,SPDYE8P,0.302135631300627
GPR89C,GTF2IRD2P1,0.3681139684154522
GPR89C,GTF2IP1,0.36167439215731906
GPR89C,KCNQ3,0.1615319910686563
GPR89C,KIF12,0.11736397132597315
GPR89C,SOHLH1,0.0451276062224459
GPR89C,LCN15,0.1078820983608317
GPR89C,IDI2,0.39320655713957536
GPR89C,CAMK1D,0.22482856380936045
GPR89C,DRGX,-0.006775113814200657
GPR89C,NPFFR1,-0.0654156324323124
GPR89C,SAMD8,0.1804995966922708
GPR89C,EIF5AL1,0.3816570318567226
GPR89C,PIPSL,0.4965054629876059
GPR89C,SLC18A2,-0.015198484373254197
GPR89C,TRIM34,0.25858843929191366
GPR89C,SLC22A9,0.06074025824360152
GPR89C,C11orf71,0.2535682855578381
GPR89C,MFRP,0.30678581546900763
GPR89C,GRAMD1B,0.277037875793839
GPR89C,PRB2,0.12701548266629625
GPR89C,DDX47,0.4659910584127589
GPR89C,GRIN2B,0.10522136542494571
GPR89C,H3F3C,0.32176774071372577
GPR89C,KCNH3,0.23032750642646682
GPR89C,HOXC4,0.24599950117195873
GPR89C,MAP1LC3B2,0.35962314845990756
GPR89C,CABP1,0.06771428634547162
GPR89C,ZNF26,0.4647660550366122
GPR89C,ZNF84,0.3690377413819043
GPR89C,RPL21,0.09154279310516825
GPR89C,DGKH,0.1766556872093778
GPR89C,CIDEB,0.3418129570133899
GPR89C,CTAGE5,0.452538238538735
GPR89C,MGAT2,0.4353588455318698
GPR89C,C14orf169,0.2521612906969496
GPR89C,DIO3OS,0.09665949896218258
GPR89C,EPB42,0.20251286937351115
GPR89C,NRG4,0.08251354574186881
GPR89C,GOLGA6L9,0.30079200100127024
GPR89C,RPS17,0.33291838190742906
GPR89C,FSD2,0.15732055937564282
GPR89C,EME2,0.21006449242462638
GPR89C,DEXI,0.47030068557464383
GPR89C,EIF3CL,0.3230126176671898
GPR89C,BOLA2,0.3943549547046544
GPR89C,GCSH,0.22083688444607558
GPR89C,NLRP1,0.16443255105872817
GPR89C,RNASEK,0.3646835863356572
GPR89C,CORO6,0.2213131588676833
GPR89C,TBC1D3B,0.2664020550523306
GPR89C,TBC1D3,0.32316804507055763
GPR89C,CCDC103,0.2292569146373695
GPR89C,NACA2,0.37633484630971453
GPR89C,ANKRD30B,-0.031839629834589274
GPR89C,FEM1A,0.38680148542520487
GPR89C,PSPN,0.2274173920151462
GPR89C,RPSAP58,0.2705866943079596
GPR89C,ATP4A,0.06300167690826528
GPR89C,CACNG8,0.09370216341878632
GPR89C,ZCCHC3,0.41772858628726467
GPR89C,P2RX6P,0.12838535824323222
GPR89C,MIF,0.24179152779134558
GPR89C,SSTR3,0.02667497624832422
GPR89C,MAGED4B,0.2917356344839669
GPR89C,MAGED4,0.29166549422012916
GPR89C,RPL36A,0.3687892406293225
GPR89C,FAM45B,0.3329231229925413
GPR89C,PRRG3,0.0763075273404322
HIST2H4A,SUMO1P3,0.41062278029340954
HIST2H4A,ZBTB37,0.25599336822812246
HIST2H4A,TNNT2,-0.08349014826997367
HIST2H4A,RBM34,0.29599033860097274
HIST2H4A,EDARADD,0.1888350173671285
HIST2H4A,C2orf74,0.3698178451648937
HIST2H4A,MRPL30,0.3290654565001193
HIST2H4A,RGPD6,0.006143652495921477
HIST2H4A,POTEE,0.006253427514150813
HIST2H4A,AMIGO3,0.04299250308153399
HIST2H4A,GMPPB,0.30550113375680077
HIST2H4A,ACAD11,0.05988396288432702
HIST2H4A,PA2G4P4,0.19830140001283578
HIST2H4A,VWA5B2,-0.009853917744393259
HIST2H4A,MAP3K13,-0.0862288715863719
HIST2H4A,ISCA1P1,0.33982861466185793
HIST2H4A,PPP1R2P3,0.3656986576778375
HIST2H4A,FAM153B,-0.09537136628022387
HIST2H4A,EIF4E1B,-0.011882548026562925
HIST2H4A,FAM153C,-0.12025354758479143
HIST2H4A,GFOD1,-0.022450379254902748
HIST2H4A,LYPLA2P1,0.20475207838692908
HIST2H4A,SNORA8,0.16812917482732614
HIST2H4A,GET4,0.2907016754732881
HIST2H4A,TRIL,-0.03143286852162329
HIST2H4A,RABGEF1,0.2619496487458811
HIST2H4A,SPDYE8P,0.09588477966379308
HIST2H4A,GTF2IRD2P1,0.12922388256061312
HIST2H4A,GTF2IP1,0.027835926583093657
HIST2H4A,KCNQ3,0.0960482015818674
HIST2H4A,KIF12,0.013573079555218262
HIST2H4A,SOHLH1,-0.0550091290500678
HIST2H4A,LCN15,-0.05285849785763493
HIST2H4A,IDI2,0.03900681082796251
HIST2H4A,CAMK1D,0.08302076936210537
HIST2H4A,DRGX,0.006970692555261702
HIST2H4A,NPFFR1,0.16154730244600077
HIST2H4A,SAMD8,0.1258470729110828
HIST2H4A,EIF5AL1,0.28054314339640585
HIST2H4A,PIPSL,0.35329833272582006
HIST2H4A,SLC18A2,0.049764092442176416
HIST2H4A,TRIM34,0.2943795064363919
HIST2H4A,SLC22A9,0.05094575397657334
HIST2H4A,C11orf71,0.42414941201117345
HIST2H4A,MFRP,0.1552448898446444
HIST2H4A,GRAMD1B,0.18187951788952644
HIST2H4A,PRB2,-0.02830207639031139
HIST2H4A,DDX47,0.3582826723343106
HIST2H4A,GRIN2B,0.0936343424819699
HIST2H4A,H3F3C,0.16617887143682172
HIST2H4A,KCNH3,0.04064334087918188
HIST2H4A,HOXC4,0.11596691687583784
HIST2H4A,MAP1LC3B2,0.3592784347258766
HIST2H4A,CABP1,0.08267104044376644
HIST2H4A,ZNF26,0.12604899941207587
HIST2H4A,ZNF84,0.03579638014917566
HIST2H4A,RPL21,0.11274209212623702
HIST2H4A,DGKH,0.029713966093247588
HIST2H4A,CIDEB,0.11400827879005274
HIST2H4A,CTAGE5,0.1756999916953451
HIST2H4A,MGAT2,0.16092055626253443
HIST2H4A,C14orf169,0.04282807433525357
HIST2H4A,DIO3OS,0.1942249142890593
HIST2H4A,EPB42,0.21077625630547392
HIST2H4A,NRG4,0.044846903759350784
HIST2H4A,GOLGA6L9,-0.0547069782361101
HIST2H4A,RPS17,0.323370757288744
HIST2H4A,FSD2,0.0897666535855763
HIST2H4A,EME2,0.016913884172071236
HIST2H4A,DEXI,0.32069514670041677
HIST2H4A,EIF3CL,0.02446580431310991
HIST2H4A,BOLA2,0.41490566201021667
HIST2H4A,GCSH,0.27582396974289114
HIST2H4A,NLRP1,0.01878411246509755
HIST2H4A,RNASEK,0.36460444797700337
HIST2H4A,CORO6,0.09103651133122423
HIST2H4A,TBC1D3B,0.001893140644125382
HIST2H4A,TBC1D3,0.03761796099076332
HIST2H4A,CCDC103,0.2884863982937368
HIST2H4A,NACA2,0.3384233286136846
HIST2H4A,ANKRD30B,-0.12104876729327886
HIST2H4A,FEM1A,-0.0544578890482887
HIST2H4A,PSPN,0.05138462205072702
HIST2H4A,RPSAP58,0.3360293397082535
HIST2H4A,ATP4A,0.010120327652121485
HIST2H4A,CACNG8,-0.17648685634610084
HIST2H4A,ZCCHC3,0.13591359318567842
HIST2H4A,P2RX6P,0.08426238197219015
HIST2H4A,MIF,0.29593309908568427
HIST2H4A,SSTR3,-0.06508685461448702
HIST2H4A,MAGED4B,0.04363615159809603
HIST2H4A,MAGED4,0.12563152891993176
HIST2H4A,RPL36A,0.16355571847198144
HIST2H4A,FAM45B,0.256743475019228
HIST2H4A,PRRG3,0.021685708311961635
SUMO1P3,ZBTB37,0.39912404459095546
SUMO1P3,TNNT2,0.10530094434563345
SUMO1P3,RBM34,0.8299678207950975
SUMO1P3,EDARADD,0.40146560706466355
SUMO1P3,C2orf74,0.42357194107361673
SUMO1P3,MRPL30,0.8158865670662323
SUMO1P3,RGPD6,0.4639658676299343
SUMO1P3,POTEE,0.33337043239827013
SUMO1P3,AMIGO3,0.13748877298320397
SUMO1P3,GMPPB,0.42782967641793995
SUMO1P3,ACAD11,0.3432662679154359
SUMO1P3,PA2G4P4,0.7227008111238629
